seed,configuration,ablated,convergence_threshold,situations_scored,U_enabled,S_enabled,A_enabled,P_enabled,abstention_rate,appropriate_abstention_rate,inappropriate_abstention_rate,premature_convergence_rate,correct_conclusion_rate,false_conclusion_rate,single_iteration_conclusion_rate,mean_iterations_to_termination,iteration_records,max_convergence,mean_convergence,analyses_terminated,convergence_fraction,termination_reasons
42,allon,none,0.3,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.29,0.1537,963,0.0,"{""max_iterations"": 963}"
123,allon,none,0.3,66,True,True,True,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.29,0.1543,963,0.0,"{""max_iterations"": 963}"
456,allon,none,0.3,66,True,True,True,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.29,0.1538,963,0.0,"{""max_iterations"": 963}"
789,allon,none,0.3,66,True,True,True,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.29,0.1534,963,0.0,"{""max_iterations"": 963}"
1024,allon,none,0.3,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.29,0.154,963,0.0,"{""max_iterations"": 963}"
42,allon,none,0.5,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,allon,none,0.5,66,True,True,True,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
456,allon,none,0.5,66,True,True,True,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,allon,none,0.5,66,True,True,True,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,allon,none,0.5,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,allon,none,0.8,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2576,0.7424,0.0,3,2889,0.445,0.1601,963,0.0,"{""max_iterations"": 963}"
123,allon,none,0.8,66,True,True,True,True,0.1515,0.2174,0.0,0.5455,0.1818,0.8182,0.0,3,2889,0.485,0.1608,963,0.0,"{""max_iterations"": 963}"
456,allon,none,0.8,66,True,True,True,True,0.1667,0.2391,0.0,0.5303,0.197,0.803,0.0,3,2889,0.45,0.1598,963,0.0,"{""max_iterations"": 963}"
789,allon,none,0.8,66,True,True,True,True,0.197,0.2609,0.05,0.5152,0.2273,0.7576,0.0,3,2889,0.485,0.1603,963,0.0,"{""max_iterations"": 963}"
1024,allon,none,0.8,66,True,True,True,True,0.197,0.2826,0.0,0.5,0.2273,0.7727,0.0,3,2889,0.445,0.1606,963,0.0,"{""max_iterations"": 963}"
42,U,U,0.3,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.29,0.2429,963,0.0,"{""max_iterations"": 963}"
123,U,U,0.3,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2439,963,0.0,"{""max_iterations"": 963}"
456,U,U,0.3,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2433,963,0.0,"{""max_iterations"": 963}"
789,U,U,0.3,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.29,0.2447,963,0.0,"{""max_iterations"": 963}"
1024,U,U,0.3,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.29,0.2446,963,0.0,"{""max_iterations"": 963}"
42,U,U,0.5,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.49,0.3297,963,0.0,"{""max_iterations"": 963}"
123,U,U,0.5,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3329,963,0.0,"{""max_iterations"": 963}"
456,U,U,0.5,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3298,963,0.0,"{""max_iterations"": 963}"
789,U,U,0.5,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0455,0.9545,0.0,3,2889,0.49,0.3318,963,0.0,"{""max_iterations"": 963}"
1024,U,U,0.5,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0303,0.9697,0.0,3,2889,0.49,0.3335,963,0.0,"{""max_iterations"": 963}"
42,U,U,0.8,66,False,True,True,True,0.0,0.0,0.0,0.697,0.0606,0.9394,0.0,3,2889,0.6,0.3317,963,0.0,"{""max_iterations"": 963}"
