seed,convergence_threshold,metric,pair,interaction_mean,interaction_sd
42,0.3,abstention_rate,UxS,0.0841,0.0111
42,0.3,abstention_rate,UxA,0.003,0.0028
42,0.3,abstention_rate,UxP,-0.0008,0.0015
42,0.3,abstention_rate,SxA,-0.003,0.0028
42,0.3,abstention_rate,SxP,-0.0008,0.0015
42,0.3,abstention_rate,AxP,0.0,0.0
42,0.3,appropriate_abstention_rate,UxS,0.1185,0.0151
42,0.3,appropriate_abstention_rate,UxA,0.0043,0.0041
42,0.3,appropriate_abstention_rate,UxP,-0.0011,0.0022
42,0.3,appropriate_abstention_rate,SxA,-0.0043,0.0041
42,0.3,appropriate_abstention_rate,SxP,-0.0011,0.0022
42,0.3,appropriate_abstention_rate,AxP,0.0,0.0
42,0.3,inappropriate_abstention_rate,UxS,0.005,0.01
42,0.3,inappropriate_abstention_rate,UxA,0.0,0.0
42,0.3,inappropriate_abstention_rate,UxP,0.0,0.0
42,0.3,inappropriate_abstention_rate,SxA,0.0,0.0
42,0.3,inappropriate_abstention_rate,SxP,0.0,0.0
42,0.3,inappropriate_abstention_rate,AxP,0.0,0.0
42,0.3,premature_convergence_rate,UxS,-0.1038,0.0106
42,0.3,premature_convergence_rate,UxA,-0.0038,0.0027
42,0.3,premature_convergence_rate,UxP,0.0795,0.0055
42,0.3,premature_convergence_rate,SxA,0.0038,0.0027
42,0.3,premature_convergence_rate,SxP,-0.0235,0.0052
42,0.3,premature_convergence_rate,AxP,-0.0008,0.0009
42,0.5,abstention_rate,UxS,0.0833,0.0115
42,0.5,abstention_rate,UxA,0.003,0.0028
42,0.5,abstention_rate,UxP,0.0,0.0
42,0.5,abstention_rate,SxA,-0.003,0.0028
42,0.5,abstention_rate,SxP,0.0,0.0
42,0.5,abstention_rate,AxP,0.0,0.0
42,0.5,appropriate_abstention_rate,UxS,0.1174,0.0156
42,0.5,appropriate_abstention_rate,UxA,0.0044,0.0041
42,0.5,appropriate_abstention_rate,UxP,0.0,0.0
42,0.5,appropriate_abstention_rate,SxA,-0.0044,0.0041
42,0.5,appropriate_abstention_rate,SxP,0.0,0.0
42,0.5,appropriate_abstention_rate,AxP,0.0,0.0
42,0.5,inappropriate_abstention_rate,UxS,0.005,0.01
42,0.5,inappropriate_abstention_rate,UxA,0.0,0.0
42,0.5,inappropriate_abstention_rate,UxP,0.0,0.0
42,0.5,inappropriate_abstention_rate,SxA,0.0,0.0
42,0.5,inappropriate_abstention_rate,SxP,0.0,0.0
42,0.5,inappropriate_abstention_rate,AxP,0.0,0.0
42,0.5,premature_convergence_rate,UxS,-0.0818,0.0109
42,0.5,premature_convergence_rate,UxA,-0.003,0.0028
42,0.5,premature_convergence_rate,UxP,0.0,0.0
42,0.5,premature_convergence_rate,SxA,0.003,0.0028
42,0.5,premature_convergence_rate,SxP,0.0,0.0
42,0.5,premature_convergence_rate,AxP,0.0,0.0
42,0.8,abstention_rate,UxS,0.0833,0.0115
42,0.8,abstention_rate,UxA,0.003,0.0028
42,0.8,abstention_rate,UxP,0.0,0.0
42,0.8,abstention_rate,SxA,-0.003,0.0028
42,0.8,abstention_rate,SxP,0.0,0.0
42,0.8,abstention_rate,AxP,0.0,0.0
42,0.8,appropriate_abstention_rate,UxS,0.1174,0.0156
42,0.8,appropriate_abstention_rate,UxA,0.0044,0.0041
42,0.8,appropriate_abstention_rate,UxP,0.0,0.0
42,0.8,appropriate_abstention_rate,SxA,-0.0044,0.0041
42,0.8,appropriate_abstention_rate,SxP,0.0,0.0
42,0.8,appropriate_abstention_rate,AxP,0.0,0.0
42,0.8,inappropriate_abstention_rate,UxS,0.005,0.01
42,0.8,inappropriate_abstention_rate,UxA,0.0,0.0
42,0.8,inappropriate_abstention_rate,UxP,0.0,0.0
42,0.8,inappropriate_abstention_rate,SxA,0.0,0.0
42,0.8,inappropriate_abstention_rate,SxP,0.0,0.0
42,0.8,inappropriate_abstention_rate,AxP,0.0,0.0
42,0.8,premature_convergence_rate,UxS,-0.0818,0.0109
42,0.8,premature_convergence_rate,UxA,-0.003,0.0028
42,0.8,premature_convergence_rate,UxP,0.0,0.0
42,0.8,premature_convergence_rate,SxA,0.003,0.0028
42,0.8,premature_convergence_rate,SxP,0.0,0.0
42,0.8,premature_convergence_rate,AxP,0.0,0.0
