seed,convergence_threshold,metric,switch,tier,effect_mean,effect_sd,seeds
42,0.3,abstention_rate,U,live,-0.0993,0.0074,5
42,0.3,abstention_rate,S,live,-0.0841,0.0111,5
42,0.3,abstention_rate,A,live,-0.003,0.0028,5
42,0.3,abstention_rate,P,live,0.0008,0.0015,5
42,0.3,appropriate_abstention_rate,U,live,-0.1402,0.0093,5
42,0.3,appropriate_abstention_rate,S,live,-0.1185,0.0151,5
42,0.3,appropriate_abstention_rate,A,live,-0.0043,0.0041,5
42,0.3,appropriate_abstention_rate,P,live,0.0011,0.0022,5
42,0.3,inappropriate_abstention_rate,U,live,-0.005,0.01,5
42,0.3,inappropriate_abstention_rate,S,live,-0.005,0.01,5
42,0.3,inappropriate_abstention_rate,A,live,0.0,0.0,5
42,0.3,inappropriate_abstention_rate,P,live,0.0,0.0,5
42,0.3,premature_convergence_rate,U,live,0.1765,0.0094,5
42,0.3,premature_convergence_rate,S,live,0.0583,0.0097,5
42,0.3,premature_convergence_rate,A,live,0.0023,0.0033,5
42,0.3,premature_convergence_rate,P,live,0.081,0.0053,5
42,0.3,correct_conclusion_rate,U,carried,-0.103,0.0081,5
42,0.3,correct_conclusion_rate,S,carried,-0.0773,0.0149,5
42,0.3,correct_conclusion_rate,A,carried,-0.003,0.0028,5
42,0.3,correct_conclusion_rate,P,carried,-0.0091,0.01,5
42,0.3,false_conclusion_rate,U,carried,0.1045,0.0092,5
42,0.3,false_conclusion_rate,S,carried,0.0788,0.015,5
42,0.3,false_conclusion_rate,A,carried,0.003,0.0028,5
42,0.3,false_conclusion_rate,P,carried,0.0091,0.01,5
42,0.3,single_iteration_conclusion_rate,U,dead,0.0447,0.0061,5
42,0.3,single_iteration_conclusion_rate,S,dead,-0.0053,0.0045,5
42,0.3,single_iteration_conclusion_rate,A,dead,0.0,0.0,5
42,0.3,single_iteration_conclusion_rate,P,dead,0.0447,0.0061,5
42,0.3,mean_iterations_to_termination,U,dead,-0.1159,0.0191,5
42,0.3,mean_iterations_to_termination,S,dead,0.0189,0.0049,5
42,0.3,mean_iterations_to_termination,A,dead,-0.0008,0.0009,5
42,0.3,mean_iterations_to_termination,P,dead,-0.1159,0.0191,5
42,0.5,abstention_rate,U,live,-0.0985,0.008,5
42,0.5,abstention_rate,S,live,-0.0833,0.0115,5
42,0.5,abstention_rate,A,live,-0.003,0.0028,5
42,0.5,abstention_rate,P,live,0.0,0.0,5
42,0.5,appropriate_abstention_rate,U,live,-0.1391,0.0101,5
42,0.5,appropriate_abstention_rate,S,live,-0.1174,0.0156,5
42,0.5,appropriate_abstention_rate,A,live,-0.0044,0.0041,5
42,0.5,appropriate_abstention_rate,P,live,0.0,0.0,5
42,0.5,inappropriate_abstention_rate,U,live,-0.005,0.01,5
42,0.5,inappropriate_abstention_rate,S,live,-0.005,0.01,5
42,0.5,inappropriate_abstention_rate,A,live,0.0,0.0,5
42,0.5,inappropriate_abstention_rate,P,live,0.0,0.0,5
42,0.5,premature_convergence_rate,U,live,0.097,0.007,5
42,0.5,premature_convergence_rate,S,live,0.0818,0.0109,5
42,0.5,premature_convergence_rate,A,live,0.003,0.0028,5
42,0.5,premature_convergence_rate,P,live,0.0,0.0,5
42,0.5,correct_conclusion_rate,U,carried,-0.0977,0.0097,5
42,0.5,correct_conclusion_rate,S,carried,-0.0689,0.0173,5
42,0.5,correct_conclusion_rate,A,carried,-0.003,0.0028,5
42,0.5,correct_conclusion_rate,P,carried,-0.0008,0.0037,5
42,0.5,false_conclusion_rate,U,carried,0.0992,0.0103,5
42,0.5,false_conclusion_rate,S,carried,0.0704,0.0175,5
42,0.5,false_conclusion_rate,A,carried,0.003,0.0028,5
42,0.5,false_conclusion_rate,P,carried,0.0008,0.0037,5
42,0.5,single_iteration_conclusion_rate,U,dead,0.0,0.0,5
42,0.5,single_iteration_conclusion_rate,S,dead,0.0,0.0,5
42,0.5,single_iteration_conclusion_rate,A,dead,0.0,0.0,5
42,0.5,single_iteration_conclusion_rate,P,dead,0.0,0.0,5
42,0.5,mean_iterations_to_termination,U,dead,0,0.0,5
42,0.5,mean_iterations_to_termination,S,dead,0,0.0,5
42,0.5,mean_iterations_to_termination,A,dead,0,0.0,5
42,0.5,mean_iterations_to_termination,P,dead,0,0.0,5
42,0.8,abstention_rate,U,live,-0.0985,0.008,5
42,0.8,abstention_rate,S,live,-0.0833,0.0115,5
42,0.8,abstention_rate,A,live,-0.003,0.0028,5
42,0.8,abstention_rate,P,live,0.0,0.0,5
42,0.8,appropriate_abstention_rate,U,live,-0.1391,0.0101,5
42,0.8,appropriate_abstention_rate,S,live,-0.1174,0.0156,5
42,0.8,appropriate_abstention_rate,A,live,-0.0044,0.0041,5
42,0.8,appropriate_abstention_rate,P,live,0.0,0.0,5
42,0.8,inappropriate_abstention_rate,U,live,-0.005,0.01,5
42,0.8,inappropriate_abstention_rate,S,live,-0.005,0.01,5
42,0.8,inappropriate_abstention_rate,A,live,0.0,0.0,5
42,0.8,inappropriate_abstention_rate,P,live,0.0,0.0,5
42,0.8,premature_convergence_rate,U,live,0.097,0.007,5
42,0.8,premature_convergence_rate,S,live,0.0818,0.0109,5
42,0.8,premature_convergence_rate,A,live,0.003,0.0028,5
42,0.8,premature_convergence_rate,P,live,0.0,0.0,5
