seed,convergence_threshold,regime,metric,switch,effect_mean,effect_sd
42,0.3,clear,abstention_rate,U,-0.005,0.01
42,0.3,ambiguous,abstention_rate,U,-0.0425,0.0245
42,0.3,sparse,abstention_rate,U,-0.55,0.0158
42,0.3,unknown_attack,abstention_rate,U,-0.0063,0.0125
42,0.3,clear,abstention_rate,S,-0.005,0.01
42,0.3,ambiguous,abstention_rate,S,-0.0425,0.0245
42,0.3,sparse,abstention_rate,S,-0.45,0.0158
42,0.3,unknown_attack,abstention_rate,S,-0.0063,0.0125
42,0.3,clear,abstention_rate,A,0.0,0.0
42,0.3,ambiguous,abstention_rate,A,0.0,0.0
42,0.3,sparse,abstention_rate,A,-0.02,0.0187
42,0.3,unknown_attack,abstention_rate,A,0.0,0.0
42,0.3,clear,abstention_rate,P,0.0,0.0
42,0.3,ambiguous,abstention_rate,P,0.0025,0.005
42,0.3,sparse,abstention_rate,P,0.0,0.0
42,0.3,unknown_attack,abstention_rate,P,0.0,0.0
42,0.3,clear,appropriate_abstention_rate,U,0.0,0.0
42,0.3,ambiguous,appropriate_abstention_rate,U,-0.0425,0.0245
42,0.3,sparse,appropriate_abstention_rate,U,-0.55,0.0158
42,0.3,unknown_attack,appropriate_abstention_rate,U,-0.0063,0.0125
42,0.3,clear,appropriate_abstention_rate,S,0.0,0.0
42,0.3,ambiguous,appropriate_abstention_rate,S,-0.0425,0.0245
42,0.3,sparse,appropriate_abstention_rate,S,-0.45,0.0158
42,0.3,unknown_attack,appropriate_abstention_rate,S,-0.0063,0.0125
42,0.3,clear,appropriate_abstention_rate,A,0.0,0.0
42,0.3,ambiguous,appropriate_abstention_rate,A,0.0,0.0
42,0.3,sparse,appropriate_abstention_rate,A,-0.02,0.0187
42,0.3,unknown_attack,appropriate_abstention_rate,A,0.0,0.0
42,0.3,clear,appropriate_abstention_rate,P,0.0,0.0
42,0.3,ambiguous,appropriate_abstention_rate,P,0.0025,0.005
42,0.3,sparse,appropriate_abstention_rate,P,0.0,0.0
42,0.3,unknown_attack,appropriate_abstention_rate,P,0.0,0.0
42,0.3,clear,inappropriate_abstention_rate,U,-0.005,0.01
42,0.3,ambiguous,inappropriate_abstention_rate,U,0.0,0.0
42,0.3,sparse,inappropriate_abstention_rate,U,0.0,0.0
42,0.3,unknown_attack,inappropriate_abstention_rate,U,0.0,0.0
42,0.3,clear,inappropriate_abstention_rate,S,-0.005,0.01
42,0.3,ambiguous,inappropriate_abstention_rate,S,0.0,0.0
42,0.3,sparse,inappropriate_abstention_rate,S,0.0,0.0
42,0.3,unknown_attack,inappropriate_abstention_rate,S,0.0,0.0
42,0.3,clear,inappropriate_abstention_rate,A,0.0,0.0
42,0.3,ambiguous,inappropriate_abstention_rate,A,0.0,0.0
42,0.3,sparse,inappropriate_abstention_rate,A,0.0,0.0
42,0.3,unknown_attack,inappropriate_abstention_rate,A,0.0,0.0
42,0.3,clear,inappropriate_abstention_rate,P,0.0,0.0
42,0.3,ambiguous,inappropriate_abstention_rate,P,0.0,0.0
42,0.3,sparse,inappropriate_abstention_rate,P,0.0,0.0
42,0.3,unknown_attack,inappropriate_abstention_rate,P,0.0,0.0
42,0.3,clear,premature_convergence_rate,U,0.26,0.0188
42,0.3,ambiguous,premature_convergence_rate,U,0.0425,0.0245
42,0.3,sparse,premature_convergence_rate,U,0.55,0.0158
42,0.3,unknown_attack,premature_convergence_rate,U,0.0063,0.0125
42,0.3,clear,premature_convergence_rate,S,-0.08,0.0191
42,0.3,ambiguous,premature_convergence_rate,S,0.0425,0.0245
42,0.3,sparse,premature_convergence_rate,S,0.45,0.0158
42,0.3,unknown_attack,premature_convergence_rate,S,0.0063,0.0125
42,0.3,clear,premature_convergence_rate,A,-0.0025,0.0031
42,0.3,ambiguous,premature_convergence_rate,A,0.0,0.0
42,0.3,sparse,premature_convergence_rate,A,0.02,0.0187
42,0.3,unknown_attack,premature_convergence_rate,A,0.0,0.0
42,0.3,clear,premature_convergence_rate,P,0.27,0.0133
42,0.3,ambiguous,premature_convergence_rate,P,-0.0025,0.005
42,0.3,sparse,premature_convergence_rate,P,0.0,0.0
42,0.3,unknown_attack,premature_convergence_rate,P,0.0,0.0
42,0.5,clear,abstention_rate,U,-0.005,0.01
42,0.5,ambiguous,abstention_rate,U,-0.04,0.0255
42,0.5,sparse,abstention_rate,U,-0.55,0.0158
42,0.5,unknown_attack,abstention_rate,U,-0.0063,0.0125
42,0.5,clear,abstention_rate,S,-0.005,0.01
42,0.5,ambiguous,abstention_rate,S,-0.04,0.0255
42,0.5,sparse,abstention_rate,S,-0.45,0.0158
42,0.5,unknown_attack,abstention_rate,S,-0.0063,0.0125
42,0.5,clear,abstention_rate,A,0.0,0.0
42,0.5,ambiguous,abstention_rate,A,0.0,0.0
42,0.5,sparse,abstention_rate,A,-0.02,0.0187
42,0.5,unknown_attack,abstention_rate,A,0.0,0.0
42,0.5,clear,abstention_rate,P,0.0,0.0
42,0.5,ambiguous,abstention_rate,P,0.0,0.0
42,0.5,sparse,abstention_rate,P,0.0,0.0
42,0.5,unknown_attack,abstention_rate,P,0.0,0.0
42,0.5,clear,appropriate_abstention_rate,U,0.0,0.0
42,0.5,ambiguous,appropriate_abstention_rate,U,-0.04,0.0255
42,0.5,sparse,appropriate_abstention_rate,U,-0.55,0.0158
42,0.5,unknown_attack,appropriate_abstention_rate,U,-0.0063,0.0125
42,0.5,clear,appropriate_abstention_rate,S,0.0,0.0
42,0.5,ambiguous,appropriate_abstention_rate,S,-0.04,0.0255
