score,coverage,risk_mean,risk_std,seeds
max_probability,0.009996,0.001458,0.001417,5
max_probability,0.020004,0.000729,0.000708,5
max_probability,0.03,0.000486,0.000472,5
max_probability,0.039997,0.000364,0.000354,5
max_probability,0.050005,0.000291,0.000283,5
max_probability,0.060001,0.000243,0.000236,5
max_probability,0.069997,0.000208,0.000202,5
max_probability,0.080005,0.000182,0.000177,5
max_probability,0.090001,0.000162,0.000157,5
max_probability,0.099998,0.000146,0.000142,5
max_probability,0.110006,0.000132,0.000129,5
max_probability,0.120002,0.000121,0.000118,5
max_probability,0.129998,0.000112,0.000109,5
max_probability,0.139994,0.000104,0.000101,5
max_probability,0.150002,9.7e-05,9.4e-05,5
max_probability,0.159999,9.1e-05,8.9e-05,5
max_probability,0.169995,8.6e-05,8.3e-05,5
max_probability,0.180003,8.1e-05,7.9e-05,5
max_probability,0.189999,7.7e-05,7.5e-05,5
max_probability,0.199995,7.3e-05,7.1e-05,5
max_probability,0.210003,6.9e-05,6.7e-05,5
max_probability,0.22,6.6e-05,6.4e-05,5
max_probability,0.229996,6.3e-05,6.2e-05,5
max_probability,0.240004,6.1e-05,5.9e-05,5
max_probability,0.25,5.8e-05,5.7e-05,5
max_probability,0.259996,5.6e-05,5.4e-05,5
max_probability,0.270004,5.4e-05,5.2e-05,5
max_probability,0.28,5.2e-05,5.1e-05,5
max_probability,0.289997,5e-05,4.9e-05,5
max_probability,0.300005,4.9e-05,4.7e-05,5
max_probability,0.310001,4.7e-05,4.6e-05,5
max_probability,0.319997,4.6e-05,4.4e-05,5
max_probability,0.330005,4.4e-05,4.3e-05,5
max_probability,0.340001,9.3e-05,8.3e-05,5
max_probability,0.349998,0.000104,8.8e-05,5
max_probability,0.360006,0.000256,0.00017,5
max_probability,0.370002,0.000551,0.00027,5
max_probability,0.379998,0.00062,0.000246,5
max_probability,0.389994,0.000884,0.000352,5
max_probability,0.400002,0.001123,0.000231,5
max_probability,0.409999,0.001363,0.000268,5
max_probability,0.419995,0.001764,0.000314,5
max_probability,0.430003,0.002424,0.000789,5
max_probability,0.439999,0.003219,0.000789,5
max_probability,0.449995,0.004049,0.000537,5
max_probability,0.460003,0.005534,0.000712,5
max_probability,0.47,0.006915,0.000495,5
max_probability,0.479996,0.008209,0.00044,5
max_probability,0.490004,0.010108,0.00078,5
max_probability,0.5,0.012403,0.000874,5
max_probability,0.509996,0.013804,0.000683,5
max_probability,0.520004,0.015224,0.00055,5
max_probability,0.53,0.017751,0.000752,5
max_probability,0.539997,0.021121,0.000629,5
max_probability,0.550005,0.024884,0.001354,5
max_probability,0.560001,0.028747,0.001945,5
max_probability,0.569997,0.031729,0.002445,5
max_probability,0.580005,0.034285,0.00266,5
max_probability,0.590001,0.037776,0.002044,5
max_probability,0.599998,0.04224,0.001274,5
max_probability,0.610006,0.047365,0.001258,5
max_probability,0.620002,0.052455,0.001166,5
max_probability,0.629998,0.058039,0.000814,5
max_probability,0.639994,0.063919,0.000757,5
max_probability,0.650002,0.070241,0.000789,5
max_probability,0.659999,0.076233,0.000924,5
max_probability,0.669995,0.082542,0.001118,5
max_probability,0.680003,0.088426,0.001235,5
max_probability,0.689999,0.09395,0.001244,5
max_probability,0.699995,0.099733,0.001106,5
max_probability,0.710003,0.105727,0.001203,5
max_probability,0.72,0.111051,0.001411,5
max_probability,0.729996,0.116492,0.001686,5
max_probability,0.740004,0.121587,0.001385,5
max_probability,0.75,0.126826,0.001422,5
max_probability,0.759996,0.131979,0.001395,5
max_probability,0.770004,0.136718,0.001358,5
max_probability,0.78,0.141413,0.001674,5
max_probability,0.789997,0.146023,0.001693,5
max_probability,0.800005,0.150609,0.001438,5
max_probability,0.810001,0.154781,0.001422,5
max_probability,0.819997,0.15884,0.001379,5
max_probability,0.830005,0.163311,0.00094,5
max_probability,0.840001,0.167981,0.000915,5
max_probability,0.849998,0.173087,0.0004,5
max_probability,0.860006,0.177886,0.00046,5
max_probability,0.870002,0.182395,0.000645,5
max_probability,0.879998,0.186819,0.000831,5
max_probability,0.889994,0.191727,0.000719,5
max_probability,0.900002,0.196405,0.0008,5
max_probability,0.909999,0.201607,0.000923,5
max_probability,0.919995,0.207021,0.000816,5
max_probability,0.930003,0.212841,0.000687,5
