classifier,config,seed,holdout_class,distribution,accuracy,macro_f1,weighted_f1,false_positive_rate_normal_as_attack,sample_count
rf,closedset,42,,natural,0.747097,0.499721,0.780811,0.237189,82332
rf,closedset,42,,balanced,0.556818,0.551467,0.551467,0.159091,440
xgb,closedset,42,,natural,0.757543,0.507181,0.776145,0.245108,82332
xgb,closedset,42,,balanced,0.588636,0.577831,0.577831,0.181818,440
rf,closedset,123,,natural,0.74666,0.511391,0.780574,0.23727,82332
rf,closedset,123,,balanced,0.515909,0.522042,0.522042,0.295455,440
xgb,closedset,123,,natural,0.756923,0.507226,0.773106,0.249973,82332
xgb,closedset,123,,balanced,0.513636,0.514605,0.514605,0.318182,440
rf,closedset,456,,natural,0.746065,0.508307,0.779763,0.240297,82332
rf,closedset,456,,balanced,0.559091,0.562207,0.562207,0.25,440
xgb,closedset,456,,natural,0.757263,0.502044,0.773663,0.246432,82332
xgb,closedset,456,,balanced,0.545455,0.54097,0.54097,0.25,440
rf,closedset,789,,natural,0.745834,0.507145,0.779063,0.236054,82332
rf,closedset,789,,balanced,0.547727,0.550397,0.550397,0.227273,440
xgb,closedset,789,,natural,0.757713,0.51915,0.777003,0.246135,82332
xgb,closedset,789,,balanced,0.579545,0.572963,0.572963,0.227273,440
rf,closedset,1024,,natural,0.746138,0.496784,0.779907,0.236514,82332
rf,closedset,1024,,balanced,0.515909,0.51701,0.51701,0.272727,440
xgb,closedset,1024,,natural,0.761599,0.500462,0.77812,0.244622,82332
xgb,closedset,1024,,balanced,0.525,0.519558,0.519558,0.272727,440
rf,openset,42,Worms,natural,0.747059,0.503914,0.780226,0.236054,82288
rf,openset,42,Worms,balanced,0.542622,0.538251,0.538251,0.230159,3402
xgb,openset,42,Worms,natural,0.758264,0.510884,0.777262,0.245108,82288
xgb,openset,42,Worms,balanced,0.55438,0.540235,0.540235,0.243386,3402
rf,openset,123,Worms,natural,0.747059,0.508041,0.78062,0.236919,82288
rf,openset,123,Worms,balanced,0.546737,0.543259,0.543259,0.26455,3402
xgb,openset,123,Worms,natural,0.760621,0.5061,0.776213,0.243297,82288
xgb,openset,123,Worms,balanced,0.546737,0.529404,0.529404,0.269841,3402
rf,openset,456,Worms,natural,0.747314,0.508178,0.781121,0.23873,82288
rf,openset,456,Worms,balanced,0.55144,0.545629,0.545629,0.275132,3402
xgb,openset,456,Worms,natural,0.759941,0.510987,0.776498,0.243892,82288
xgb,openset,456,Worms,balanced,0.554674,0.538559,0.538559,0.275132,3402
rf,openset,789,Worms,natural,0.746002,0.500497,0.779348,0.237081,82288
rf,openset,789,Worms,balanced,0.541446,0.534998,0.534998,0.246032,3402
xgb,openset,789,Worms,natural,0.758592,0.509472,0.775572,0.245,82288
xgb,openset,789,Worms,balanced,0.557025,0.537615,0.537615,0.251323,3402
rf,openset,1024,Worms,natural,0.745892,0.502405,0.779427,0.236757,82288
rf,openset,1024,Worms,balanced,0.54321,0.53547,0.53547,0.238095,3402
xgb,openset,1024,Worms,natural,0.760828,0.50373,0.777433,0.24373,82288
xgb,openset,1024,Worms,balanced,0.545561,0.522998,0.522998,0.259259,3402
