score,coverage,risk_mean,risk_std,seeds
max_probability,0.009996,0.0,0.0,5
max_probability,0.020004,0.0,0.0,5
max_probability,0.03,0.0,0.0,5
max_probability,0.039997,0.0,0.0,5
max_probability,0.050005,0.0,0.0,5
max_probability,0.060001,0.0,0.0,5
max_probability,0.069997,0.0,0.0,5
max_probability,0.080005,0.0,0.0,5
max_probability,0.090001,0.0,0.0,5
max_probability,0.099998,0.0,0.0,5
max_probability,0.110006,0.0,0.0,5
max_probability,0.120002,0.0,0.0,5
max_probability,0.129998,0.0,0.0,5
max_probability,0.139994,0.0,0.0,5
max_probability,0.150002,0.0,0.0,5
max_probability,0.159999,0.0,0.0,5
max_probability,0.169995,0.0,0.0,5
max_probability,0.180003,0.0,0.0,5
max_probability,0.189999,0.0,0.0,5
max_probability,0.199995,0.0,0.0,5
max_probability,0.210003,0.0,0.0,5
max_probability,0.22,0.0,0.0,5
max_probability,0.229996,0.0,0.0,5
max_probability,0.240004,0.0,0.0,5
max_probability,0.25,0.0,0.0,5
max_probability,0.259996,0.0,0.0,5
max_probability,0.270004,0.0,0.0,5
max_probability,0.28,0.0,0.0,5
max_probability,0.289997,0.0,0.0,5
max_probability,0.300005,0.0,0.0,5
max_probability,0.310001,0.0,0.0,5
max_probability,0.319997,0.0,0.0,5
max_probability,0.330005,0.0,0.0,5
max_probability,0.340001,0.0,0.0,5
max_probability,0.349998,0.0,0.0,5
max_probability,0.360006,0.0,0.0,5
max_probability,0.370002,0.0,0.0,5
max_probability,0.379998,0.0,0.0,5
max_probability,0.389994,1.2e-05,2.5e-05,5
max_probability,0.400002,1.2e-05,2.4e-05,5
max_probability,0.409999,1.2e-05,2.4e-05,5
max_probability,0.419995,1.2e-05,2.3e-05,5
max_probability,0.430003,1.7e-05,2.3e-05,5
max_probability,0.439999,4.4e-05,3.7e-05,5
max_probability,0.449995,4.3e-05,3.7e-05,5
max_probability,0.460003,5.8e-05,4.2e-05,5
max_probability,0.47,0.000134,5e-05,5
max_probability,0.479996,0.000172,3.4e-05,5
