seed,situations_per_regime,scenarios,signals,calls_per_pass,seeds,concurrency,cache_hit_rate,cache_hit_source,level8_passes,level8_calls,level8_hours,level9_passes,level9_calls,level9_hours,within_budget
42,5,20,487,1460,3,1,0.0,supplied on the command line,9,13140,30.81,144,210240,492.9,False
42,5,20,487,1460,3,1,0.936,"L6.8 upper bound, mock inflated",9,13140,1.97,144,210240,31.55,False
42,5,20,487,1460,3,10,0.0,supplied on the command line,9,13140,3.08,144,210240,49.29,False
42,5,20,487,1460,3,10,0.936,"L6.8 upper bound, mock inflated",9,13140,0.2,144,210240,3.15,True
42,5,20,487,1460,3,25,0.0,supplied on the command line,9,13140,1.23,144,210240,19.72,True
42,5,20,487,1460,3,25,0.936,"L6.8 upper bound, mock inflated",9,13140,0.08,144,210240,1.26,True
42,5,20,487,1460,3,50,0.0,supplied on the command line,9,13140,0.62,144,210240,9.86,True
42,5,20,487,1460,3,50,0.936,"L6.8 upper bound, mock inflated",9,13140,0.04,144,210240,0.63,True
42,5,20,487,1460,5,1,0.0,supplied on the command line,15,21900,51.34,240,350400,821.49,False
42,5,20,487,1460,5,1,0.936,"L6.8 upper bound, mock inflated",15,21900,3.29,240,350400,52.58,False
42,5,20,487,1460,5,10,0.0,supplied on the command line,15,21900,5.13,240,350400,82.15,False
42,5,20,487,1460,5,10,0.936,"L6.8 upper bound, mock inflated",15,21900,0.33,240,350400,5.26,True
42,5,20,487,1460,5,25,0.0,supplied on the command line,15,21900,2.05,240,350400,32.86,False
42,5,20,487,1460,5,25,0.936,"L6.8 upper bound, mock inflated",15,21900,0.13,240,350400,2.1,True
42,5,20,487,1460,5,50,0.0,supplied on the command line,15,21900,1.03,240,350400,16.43,True
42,5,20,487,1460,5,50,0.936,"L6.8 upper bound, mock inflated",15,21900,0.07,240,350400,1.05,True
42,10,40,973,2920,3,1,0.0,supplied on the command line,9,26280,61.61,144,420480,985.79,False
42,10,40,973,2920,3,1,0.936,"L6.8 upper bound, mock inflated",9,26280,3.94,144,420480,63.09,False
42,10,40,973,2920,3,10,0.0,supplied on the command line,9,26280,6.16,144,420480,98.58,False
42,10,40,973,2920,3,10,0.936,"L6.8 upper bound, mock inflated",9,26280,0.39,144,420480,6.31,True
42,10,40,973,2920,3,25,0.0,supplied on the command line,9,26280,2.46,144,420480,39.43,False
42,10,40,973,2920,3,25,0.936,"L6.8 upper bound, mock inflated",9,26280,0.16,144,420480,2.52,True
42,10,40,973,2920,3,50,0.0,supplied on the command line,9,26280,1.23,144,420480,19.72,True
42,10,40,973,2920,3,50,0.936,"L6.8 upper bound, mock inflated",9,26280,0.08,144,420480,1.26,True
42,10,40,973,2920,5,1,0.0,supplied on the command line,15,43800,102.69,240,700800,1642.99,False
42,10,40,973,2920,5,1,0.936,"L6.8 upper bound, mock inflated",15,43800,6.57,240,700800,105.15,False
42,10,40,973,2920,5,10,0.0,supplied on the command line,15,43800,10.27,240,700800,164.3,False
42,10,40,973,2920,5,10,0.936,"L6.8 upper bound, mock inflated",15,43800,0.66,240,700800,10.52,True
42,10,40,973,2920,5,25,0.0,supplied on the command line,15,43800,4.11,240,700800,65.72,False
42,10,40,973,2920,5,25,0.936,"L6.8 upper bound, mock inflated",15,43800,0.26,240,700800,4.21,True
42,10,40,973,2920,5,50,0.0,supplied on the command line,15,43800,2.05,240,700800,32.86,False
42,10,40,973,2920,5,50,0.936,"L6.8 upper bound, mock inflated",15,43800,0.13,240,700800,2.1,True
