score,coverage,risk
calibrated_confidence,0.009996,0.0
calibrated_confidence,0.020004,0.0
calibrated_confidence,0.03,0.0
calibrated_confidence,0.039997,0.0
calibrated_confidence,0.050005,0.0
calibrated_confidence,0.060001,0.0
calibrated_confidence,0.069997,0.0
calibrated_confidence,0.080005,0.0
calibrated_confidence,0.090001,0.0
calibrated_confidence,0.099998,0.0
calibrated_confidence,0.110006,0.0
calibrated_confidence,0.120002,0.0
calibrated_confidence,0.129998,0.0
calibrated_confidence,0.139994,0.0
calibrated_confidence,0.150002,0.0
calibrated_confidence,0.159999,0.0
calibrated_confidence,0.169995,0.0
calibrated_confidence,0.180003,0.0
calibrated_confidence,0.189999,0.0
calibrated_confidence,0.199995,0.0
calibrated_confidence,0.210003,0.0
calibrated_confidence,0.22,0.0
calibrated_confidence,0.229996,0.0
calibrated_confidence,0.240004,0.0
calibrated_confidence,0.25,0.0
calibrated_confidence,0.259996,0.0
calibrated_confidence,0.270004,0.0
calibrated_confidence,0.28,0.0
calibrated_confidence,0.289997,0.0
calibrated_confidence,0.300005,0.0
calibrated_confidence,0.310001,0.0
calibrated_confidence,0.319997,0.0
calibrated_confidence,0.330005,0.0
calibrated_confidence,0.340001,0.0
calibrated_confidence,0.349998,0.0
calibrated_confidence,0.360006,0.0
calibrated_confidence,0.370002,0.0
calibrated_confidence,0.379998,0.0
calibrated_confidence,0.389994,0.0
calibrated_confidence,0.400002,0.0
calibrated_confidence,0.409999,0.0
calibrated_confidence,0.419995,0.0
calibrated_confidence,0.430003,0.0
calibrated_confidence,0.439999,0.0
calibrated_confidence,0.449995,0.0
calibrated_confidence,0.460003,0.0
calibrated_confidence,0.47,0.0
calibrated_confidence,0.479996,0.0
calibrated_confidence,0.490004,0.0
calibrated_confidence,0.5,7.3e-05
calibrated_confidence,0.509996,0.000214
calibrated_confidence,0.520004,0.000701
calibrated_confidence,0.53,0.001329
calibrated_confidence,0.539997,0.002339
calibrated_confidence,0.550005,0.004196
calibrated_confidence,0.560001,0.007288
calibrated_confidence,0.569997,0.011272
calibrated_confidence,0.580005,0.016271
calibrated_confidence,0.590001,0.020483
calibrated_confidence,0.599998,0.025324
calibrated_confidence,0.610006,0.031758
calibrated_confidence,0.620002,0.038201
calibrated_confidence,0.629998,0.045306
calibrated_confidence,0.639994,0.0535
calibrated_confidence,0.650002,0.061384
calibrated_confidence,0.659999,0.069048
calibrated_confidence,0.669995,0.076448
calibrated_confidence,0.680003,0.082485
calibrated_confidence,0.689999,0.088859
calibrated_confidence,0.699995,0.095069
calibrated_confidence,0.710003,0.100896
calibrated_confidence,0.72,0.106682
calibrated_confidence,0.729996,0.112309
calibrated_confidence,0.740004,0.117487
calibrated_confidence,0.75,0.122464
calibrated_confidence,0.759996,0.127821
calibrated_confidence,0.770004,0.133068
calibrated_confidence,0.78,0.138542
calibrated_confidence,0.789997,0.143569
calibrated_confidence,0.800005,0.148331
calibrated_confidence,0.810001,0.153564
calibrated_confidence,0.819997,0.158061
