score,coverage,risk
calibrated_confidence,0.010001,0.0
calibrated_confidence,0.020003,0.0
calibrated_confidence,0.030004,0.0
calibrated_confidence,0.040006,0.0
calibrated_confidence,0.049995,0.0
calibrated_confidence,0.059997,0.0
calibrated_confidence,0.069998,0.0
calibrated_confidence,0.08,0.0
calibrated_confidence,0.090001,0.0
calibrated_confidence,0.100002,0.0
calibrated_confidence,0.110004,0.0
calibrated_confidence,0.120005,0.0
calibrated_confidence,0.129995,0.0
calibrated_confidence,0.139996,0.0
calibrated_confidence,0.149998,0.0
calibrated_confidence,0.159999,0.0
calibrated_confidence,0.17,0.0
calibrated_confidence,0.180002,0.0
calibrated_confidence,0.190003,0.0
calibrated_confidence,0.200005,0.0
calibrated_confidence,0.209994,0.0
calibrated_confidence,0.219996,0.0
calibrated_confidence,0.229997,0.0
calibrated_confidence,0.239999,0.0
calibrated_confidence,0.25,0.0
calibrated_confidence,0.260001,0.0
calibrated_confidence,0.270003,0.0
calibrated_confidence,0.280004,0.0
calibrated_confidence,0.290006,0.0
calibrated_confidence,0.299995,0.0
calibrated_confidence,0.309997,0.0
calibrated_confidence,0.319998,0.0
calibrated_confidence,0.33,0.0
calibrated_confidence,0.340001,0.0
calibrated_confidence,0.350002,0.0
calibrated_confidence,0.360004,0.0
calibrated_confidence,0.370005,0.0
calibrated_confidence,0.379995,0.0
calibrated_confidence,0.389996,0.0
calibrated_confidence,0.399998,0.0
calibrated_confidence,0.409999,0.0
calibrated_confidence,0.42,0.0
calibrated_confidence,0.430002,0.0
calibrated_confidence,0.440003,0.0
calibrated_confidence,0.450005,0.0
calibrated_confidence,0.459994,0.0
calibrated_confidence,0.469996,0.0
calibrated_confidence,0.479997,2.5e-05
calibrated_confidence,0.489999,9.9e-05
calibrated_confidence,0.5,0.00017
calibrated_confidence,0.510001,0.000286
calibrated_confidence,0.520003,0.001098
calibrated_confidence,0.530004,0.001926
calibrated_confidence,0.540006,0.003196
calibrated_confidence,0.549995,0.004971
calibrated_confidence,0.559997,0.007877
calibrated_confidence,0.569998,0.011897
calibrated_confidence,0.58,0.015903
calibrated_confidence,0.590001,0.020062
calibrated_confidence,0.600002,0.024811
calibrated_confidence,0.610004,0.03052
calibrated_confidence,0.620005,0.037084
calibrated_confidence,0.629995,0.045234
calibrated_confidence,0.639996,0.052939
calibrated_confidence,0.649998,0.060706
calibrated_confidence,0.659999,0.067999
calibrated_confidence,0.67,0.074728
calibrated_confidence,0.680002,0.081421
calibrated_confidence,0.690003,0.087638
calibrated_confidence,0.700005,0.093504
calibrated_confidence,0.709994,0.099086
calibrated_confidence,0.719996,0.104647
calibrated_confidence,0.729997,0.110122
calibrated_confidence,0.739999,0.115153
calibrated_confidence,0.75,0.119823
calibrated_confidence,0.760001,0.124818
calibrated_confidence,0.770003,0.130157
calibrated_confidence,0.780004,0.135312
calibrated_confidence,0.790006,0.140152
calibrated_confidence,0.799995,0.144736
calibrated_confidence,0.809997,0.149221
calibrated_confidence,0.819998,0.153314
calibrated_confidence,0.83,0.15807
calibrated_confidence,0.840001,0.162915
calibrated_confidence,0.850002,0.168532
calibrated_confidence,0.860004,0.174033
calibrated_confidence,0.870005,0.17931
calibrated_confidence,0.879995,0.184718
calibrated_confidence,0.889996,0.189975
calibrated_confidence,0.899998,0.194966
calibrated_confidence,0.909999,0.199768
calibrated_confidence,0.92,0.204359
calibrated_confidence,0.930002,0.209008
calibrated_confidence,0.940003,0.213701
calibrated_confidence,0.950005,0.218525
calibrated_confidence,0.959994,0.223214
calibrated_confidence,0.969996,0.227928
calibrated_confidence,0.979997,0.233266
calibrated_confidence,0.989999,0.238642
calibrated_confidence,1.0,0.243924
negative_total_uncertainty,0.010001,0.0
negative_total_uncertainty,0.020003,0.0
negative_total_uncertainty,0.030004,0.0
negative_total_uncertainty,0.040006,0.0
negative_total_uncertainty,0.049995,0.0
negative_total_uncertainty,0.059997,0.0
negative_total_uncertainty,0.069998,0.0
negative_total_uncertainty,0.08,0.0
negative_total_uncertainty,0.090001,0.0
negative_total_uncertainty,0.100002,0.0
negative_total_uncertainty,0.110004,0.0
negative_total_uncertainty,0.120005,0.0
negative_total_uncertainty,0.129995,0.0
negative_total_uncertainty,0.139996,0.0
negative_total_uncertainty,0.149998,0.0
negative_total_uncertainty,0.159999,0.0
