class,in_training,count,mean_total,mean_aleatoric,mean_epistemic,mean_calibrated_confidence
Analysis,True,677,0.651501020649298,0.6355248576443893,0.01597616300490873,0.4317203164100647
Backdoor,True,583,0.6702959018408043,0.6516656921911944,0.018630209649610027,0.4166649281978607
DoS,True,4089,0.5661023216287981,0.5586195595825666,0.007482762046231504,0.5072785019874573
Exploits,True,11132,0.3690589330997617,0.3625940989264473,0.006464834173314322,0.7103848457336426
Fuzzers,True,6062,0.4994156588556742,0.4848693076860382,0.01454635116963605,0.5434766411781311
Generic,True,18871,0.025073346625853612,0.023697414261984486,0.0013759323638691244,0.9821768999099731
Normal,True,37000,0.16889693107127188,0.16568523390657997,0.003211697164691929,0.822115957736969
Reconnaissance,True,3496,0.21040965496848874,0.20601587503551405,0.004393779932974685,0.840779185295105
Shellcode,True,378,0.6383879787646362,0.6230953038424915,0.01529267492214468,0.49172309041023254
Worms,True,44,0.4051007001229927,0.390331919970323,0.014768780152669726,0.6874391436576843
