class,in_training,count,mean_total,mean_aleatoric,mean_epistemic,mean_calibrated_confidence
Analysis,True,677,0.6774920016904356,0.6614598849111337,0.016032116779301716,0.4402478337287903
Backdoor,True,583,0.6900989391958465,0.6706381128542285,0.019460826341618165,0.43424996733665466
DoS,True,4089,0.5884555173423918,0.5811293501507339,0.007326167191657857,0.5129253268241882
Exploits,True,11132,0.3789459313076262,0.37290380556507274,0.0060421257425534594,0.7160348296165466
Fuzzers,True,6062,0.5136672964444848,0.4997015669296249,0.013965729514859792,0.5453698635101318
Generic,True,18871,0.03303856987605729,0.029277500331764367,0.0037610695442929294,0.9773908257484436
Normal,True,37000,0.1755230761781249,0.1723386497813242,0.003184426396800749,0.8199421167373657
Reconnaissance,True,3496,0.20400110858766665,0.20038862792122591,0.003612480666440711,0.8455395698547363
Shellcode,True,378,0.6522509365324412,0.6372283111286887,0.015022625403752538,0.49003270268440247
Worms,False,44,0.47073009127264315,0.46068087134863733,0.010049219924005877,0.6894544959068298
