config,seed,holdout_class,smote_strategy,distribution,accuracy,macro_f1,weighted_f1,false_positive_rate_normal_as_attack,mean_predicted_confidence,sample_count,selected_feature_count,epochs_run,train_rows,train_rows_after_smote
closedset,42,,moderate,validation,0.776697,0.564079,0.789914,0.193393,0.825678,35069,25,44,140272,286000
closedset,42,,moderate,natural,0.684606,0.445856,0.726665,0.418649,0.823047,82332,25,44,140272,286000
closedset,42,,moderate,balanced,0.559091,0.521067,0.521067,0.340909,0.669625,440,25,44,140272,286000
openset,42,Worms,moderate,validation,0.775162,0.592559,0.788658,0.196071,0.824954,35043,25,38,140168,285480
openset,42,Worms,moderate,natural,0.689882,0.488195,0.730942,0.420595,0.827268,82288,25,38,140168,285480
openset,42,Worms,moderate,balanced,0.566432,0.541968,0.541968,0.407407,0.658412,3402,25,38,140168,285480
closedset,123,,moderate,validation,0.780918,0.566966,0.793469,0.194196,0.823796,35069,25,71,140272,286000
closedset,123,,moderate,natural,0.68655,0.453937,0.729886,0.416622,0.818417,82332,25,71,140272,286000
closedset,123,,moderate,balanced,0.520455,0.483786,0.483786,0.409091,0.658004,440,25,71,140272,286000
openset,123,Worms,moderate,validation,0.779157,0.596854,0.79261,0.200179,0.821325,35043,25,43,140168,285480
openset,123,Worms,moderate,natural,0.683356,0.467497,0.726648,0.422541,0.825643,82288,25,43,140168,285480
openset,123,Worms,moderate,balanced,0.56408,0.534213,0.534213,0.455026,0.681973,3402,25,43,140168,285480
closedset,456,,moderate,validation,0.772962,0.549256,0.786147,0.20375,0.822537,35069,25,38,140272,286000
closedset,456,,moderate,natural,0.677185,0.437529,0.721164,0.421514,0.821336,82332,25,38,140272,286000
closedset,456,,moderate,balanced,0.531818,0.490645,0.490645,0.386364,0.652557,440,25,38,140272,286000
openset,456,Worms,moderate,validation,0.77753,0.601009,0.790953,0.203571,0.826062,35043,25,45,140168,285480
openset,456,Worms,moderate,natural,0.686722,0.474213,0.72905,0.421135,0.826651,82288,25,45,140168,285480
openset,456,Worms,moderate,balanced,0.563492,0.53335,0.53335,0.452381,0.661672,3402,25,45,140168,285480
closedset,789,,moderate,validation,0.779577,0.564585,0.791893,0.198661,0.819813,35069,25,63,140272,286000
closedset,789,,moderate,natural,0.685736,0.449774,0.727106,0.420865,0.822235,82332,25,63,140272,286000
closedset,789,,moderate,balanced,0.531818,0.483614,0.483614,0.431818,0.674449,440,25,63,140272,286000
openset,789,Worms,moderate,validation,0.778472,0.601041,0.791477,0.196875,0.828795,35043,25,43,140168,285480
openset,789,Worms,moderate,natural,0.684498,0.475789,0.725764,0.419568,0.829675,82288,25,43,140168,285480
openset,789,Worms,moderate,balanced,0.565844,0.543977,0.543977,0.428571,0.665868,3402,25,43,140168,285480
closedset,1024,,moderate,validation,0.777467,0.560611,0.790724,0.194732,0.827464,35069,25,49,140272,286000
closedset,1024,,moderate,natural,0.687181,0.451006,0.726623,0.419595,0.827129,82332,25,49,140272,286000
closedset,1024,,moderate,balanced,0.497727,0.469056,0.469056,0.431818,0.647639,440,25,49,140272,286000
openset,1024,Worms,moderate,validation,0.780013,0.599591,0.792762,0.190625,0.821819,35043,25,38,140168,285480
openset,1024,Worms,moderate,natural,0.685787,0.461739,0.7275,0.411216,0.816302,82288,25,38,140168,285480
openset,1024,Worms,moderate,balanced,0.546149,0.511036,0.511036,0.436508,0.663478,3402,25,38,140168,285480
