seed,clock_mode,situations_scored,iteration_records,fallback_iterations,fallback_fraction,trend_labels_seen,quiet_fraction,burst_fraction,analyses_terminated,convergence_fraction,max_convergence,mean_final_unknown_confidence,mean_iterations_to_termination,correct_conclusion_rate,false_conclusion_rate,abstention_rate,appropriate_abstention_rate,inappropriate_abstention_rate,premature_convergence_rate,single_iteration_conclusion_rate,trend_distribution
42,conflated,66,2889,0,0.0,2,1.0,0.0602,963,0.0,0.365,0.508,3,0.5455,0.3939,0.5455,0.6957,0.2,0.2121,0.0,"{""deescalating"": 2715, ""escalating"": 174}"
123,conflated,66,2889,0,0.0,2,1.0,0.0602,963,0.0,0.445,0.507,3,0.4545,0.4848,0.5152,0.6522,0.2,0.2424,0.0,"{""deescalating"": 2715, ""escalating"": 174}"
456,conflated,66,2889,0,0.0,2,1.0,0.0602,963,0.0,0.403,0.5094,3,0.5152,0.4545,0.5152,0.6957,0.1,0.2121,0.0,"{""deescalating"": 2715, ""escalating"": 174}"
789,conflated,66,2889,0,0.0,2,1.0,0.0602,963,0.0,0.385,0.5095,3,0.4848,0.4697,0.5303,0.6957,0.15,0.2121,0.0,"{""deescalating"": 2715, ""escalating"": 174}"
1024,conflated,66,2889,0,0.0,2,1.0,0.0602,963,0.0,0.445,0.5094,3,0.5,0.4394,0.5303,0.6739,0.2,0.2273,0.0,"{""deescalating"": 2715, ""escalating"": 174}"
42,wall,66,2889,0,0.0,3,0.0,0.0602,963,0.0,0.445,0.5108,3,0.2576,0.7424,0.197,0.2826,0.0,0.5,0.0,"{""deescalating"": 111, ""escalating"": 390, ""stable"": 2388}"
123,wall,66,2889,0,0.0,3,0.0,0.0602,963,0.0,0.485,0.5127,3,0.1818,0.8182,0.1515,0.2174,0.0,0.5455,0.0,"{""deescalating"": 111, ""escalating"": 390, ""stable"": 2388}"
456,wall,66,2889,0,0.0,3,0.0,0.0602,963,0.0,0.45,0.5124,3,0.197,0.803,0.1667,0.2391,0.0,0.5303,0.0,"{""deescalating"": 111, ""escalating"": 390, ""stable"": 2388}"
789,wall,66,2889,0,0.0,3,0.0,0.0602,963,0.0,0.485,0.5109,3,0.2273,0.7576,0.197,0.2609,0.05,0.5152,0.0,"{""deescalating"": 111, ""escalating"": 390, ""stable"": 2388}"
1024,wall,66,2889,0,0.0,3,0.0,0.0602,963,0.0,0.445,0.5112,3,0.2273,0.7727,0.197,0.2826,0.0,0.5,0.0,"{""deescalating"": 111, ""escalating"": 390, ""stable"": 2388}"
42,separated,66,2889,0,0.0,3,0.2098,0.0602,963,0.0,0.445,0.5106,3,0.2576,0.7424,0.197,0.2826,0.0,0.5,0.0,"{""deescalating"": 702, ""escalating"": 375, ""stable"": 1812}"
123,separated,66,2889,0,0.0,3,0.2098,0.0602,963,0.0,0.485,0.5105,3,0.1818,0.8182,0.1515,0.2174,0.0,0.5455,0.0,"{""deescalating"": 702, ""escalating"": 375, ""stable"": 1812}"
456,separated,66,2889,0,0.0,3,0.2098,0.0602,963,0.0,0.45,0.5116,3,0.197,0.803,0.1667,0.2391,0.0,0.5303,0.0,"{""deescalating"": 702, ""escalating"": 375, ""stable"": 1812}"
789,separated,66,2889,0,0.0,3,0.2098,0.0602,963,0.0,0.485,0.51,3,0.2273,0.7576,0.197,0.2609,0.05,0.5152,0.0,"{""deescalating"": 702, ""escalating"": 375, ""stable"": 1812}"
1024,separated,66,2889,0,0.0,3,0.2098,0.0602,963,0.0,0.445,0.5104,3,0.2273,0.7727,0.197,0.2826,0.0,0.5,0.0,"{""deescalating"": 702, ""escalating"": 375, ""stable"": 1812}"
