seed,convergence_threshold,persistence_required,inertia_enabled,max_confidence_delta,analyses,convergence_fraction,single_iteration_conclusion_rate,mean_iterations_to_termination,max_convergence
42,0.3,True,True,0.15,963,0.0,0.0,3,0.29
123,0.3,True,True,0.15,963,0.0,0.0,3,0.29
456,0.3,True,True,0.15,963,0.0,0.0,3,0.29
789,0.3,True,True,0.15,963,0.0,0.0,3,0.29
1024,0.3,True,True,0.15,963,0.0,0.0,3,0.29
42,0.3,True,False,1000000000.0,963,0.0,0.0,3,0.29
123,0.3,True,False,1000000000.0,963,0.0,0.0,3,0.29
456,0.3,True,False,1000000000.0,963,0.0,0.0,3,0.29
789,0.3,True,False,1000000000.0,963,0.0,0.0,3,0.29
1024,0.3,True,False,1000000000.0,963,0.0,0.0,3,0.29
42,0.3,False,True,0.15,963,0.3074,0.0903,2.6563,0.425
123,0.3,False,True,0.15,963,0.3136,0.082,2.6771,0.42
456,0.3,False,True,0.15,963,0.2991,0.0997,2.6501,0.45
789,0.3,False,True,0.15,963,0.3032,0.0852,2.6739,0.445
1024,0.3,False,True,0.15,963,0.3053,0.0914,2.6625,0.425
42,0.3,False,False,1000000000.0,963,0.3178,0.1433,2.5919,0.5165
123,0.3,False,False,1000000000.0,963,0.2991,0.1412,2.6137,0.5576
456,0.3,False,False,1000000000.0,963,0.3146,0.1578,2.5742,0.524
789,0.3,False,False,1000000000.0,963,0.3032,0.1423,2.6064,0.5382
1024,0.3,False,False,1000000000.0,963,0.3115,0.134,2.6137,0.5778
