seed,scope,metric,value,situations
42,overall,situations,625,625
42,overall,correct_conclusion_rate,0.344,625
42,overall,false_conclusion_rate,0.6112,625
42,overall,abstention_rate,0.3744,625
42,overall,appropriate_abstention_rate,0.4629,625
42,overall,inappropriate_abstention_rate,0.1556,625
42,overall,premature_convergence_rate,0.3824,625
42,overall,single_iteration_conclusion_rate,0.0,625
42,overall,mean_iterations_to_termination,3,625
42,clear,correct_conclusion_rate,0.05,180
42,clear,false_conclusion_rate,0.7944,180
42,clear,abstention_rate,0.1556,180
42,clear,appropriate_abstention_rate,0.0,180
42,clear,inappropriate_abstention_rate,0.1556,180
42,clear,premature_convergence_rate,0.0,180
42,clear,single_iteration_conclusion_rate,0.0,180
42,clear,mean_iterations_to_termination,3,180
42,ambiguous,correct_conclusion_rate,0.3652,178
42,ambiguous,false_conclusion_rate,0.6348,178
42,ambiguous,abstention_rate,0.3652,178
42,ambiguous,appropriate_abstention_rate,0.3652,178
42,ambiguous,inappropriate_abstention_rate,0.0,178
42,ambiguous,premature_convergence_rate,0.6348,178
42,ambiguous,single_iteration_conclusion_rate,0.0,178
42,ambiguous,mean_iterations_to_termination,3,178
42,sparse,correct_conclusion_rate,1.0,100
42,sparse,false_conclusion_rate,0.0,100
42,sparse,abstention_rate,1.0,100
42,sparse,appropriate_abstention_rate,1.0,100
42,sparse,inappropriate_abstention_rate,0.0,100
42,sparse,premature_convergence_rate,0.0,100
42,sparse,single_iteration_conclusion_rate,0.0,100
42,sparse,mean_iterations_to_termination,3,100
42,unknown_attack,correct_conclusion_rate,0.2455,167
42,unknown_attack,false_conclusion_rate,0.7545,167
42,unknown_attack,abstention_rate,0.2455,167
42,unknown_attack,appropriate_abstention_rate,0.2455,167
42,unknown_attack,inappropriate_abstention_rate,0.0,167
42,unknown_attack,premature_convergence_rate,0.7545,167
42,unknown_attack,single_iteration_conclusion_rate,0.0,167
42,unknown_attack,mean_iterations_to_termination,3,167
42,reference_reasoner,correct_conclusion_rate,0.9792,625
42,reference_reasoner,false_conclusion_rate,0.0208,625
42,reference_reasoner,abstention_rate,0.6912,625
42,reference_reasoner,appropriate_abstention_rate,0.9708,625
42,reference_reasoner,inappropriate_abstention_rate,0.0,625
42,reference_reasoner,premature_convergence_rate,0.0208,625
42,reference_reasoner,single_iteration_conclusion_rate,0.3088,625
42,reference_reasoner,mean_iterations_to_termination,1,625
42,baseline_always_abstain,correct_conclusion_rate,0.712,625
42,baseline_always_abstain,false_conclusion_rate,0.0,625
42,baseline_always_abstain,abstention_rate,1.0,625
42,baseline_always_abstain,appropriate_abstention_rate,1.0,625
42,baseline_always_abstain,inappropriate_abstention_rate,1.0,625
42,baseline_always_abstain,premature_convergence_rate,0.0,625
42,baseline_always_abstain,single_iteration_conclusion_rate,0.0,625
42,baseline_always_abstain,mean_iterations_to_termination,1,625
42,baseline_always_conclude,correct_conclusion_rate,0.288,625
42,baseline_always_conclude,false_conclusion_rate,0.712,625
42,baseline_always_conclude,abstention_rate,0.0,625
42,baseline_always_conclude,appropriate_abstention_rate,0.0,625
42,baseline_always_conclude,inappropriate_abstention_rate,0.0,625
42,baseline_always_conclude,premature_convergence_rate,0.712,625
42,baseline_always_conclude,single_iteration_conclusion_rate,1.0,625
42,baseline_always_conclude,mean_iterations_to_termination,1,625
