seed,scope,metric,value,situations
42,overall,situations,7,7
42,overall,correct_conclusion_rate,0.2857,7
42,overall,false_conclusion_rate,0.7143,7
42,overall,abstention_rate,0.2857,7
42,overall,appropriate_abstention_rate,0.4,7
42,overall,inappropriate_abstention_rate,0.0,7
42,overall,premature_convergence_rate,0.4286,7
42,overall,single_iteration_conclusion_rate,0.0,7
42,overall,mean_iterations_to_termination,3,7
42,clear,correct_conclusion_rate,0.0,2
42,clear,false_conclusion_rate,1.0,2
42,clear,abstention_rate,0.0,2
42,clear,appropriate_abstention_rate,0.0,2
42,clear,inappropriate_abstention_rate,0.0,2
42,clear,premature_convergence_rate,0.0,2
42,clear,single_iteration_conclusion_rate,0.0,2
42,clear,mean_iterations_to_termination,3,2
42,ambiguous,correct_conclusion_rate,0.3333,3
42,ambiguous,false_conclusion_rate,0.6667,3
42,ambiguous,abstention_rate,0.3333,3
42,ambiguous,appropriate_abstention_rate,0.3333,3
42,ambiguous,inappropriate_abstention_rate,0.0,3
42,ambiguous,premature_convergence_rate,0.6667,3
42,ambiguous,single_iteration_conclusion_rate,0.0,3
42,ambiguous,mean_iterations_to_termination,3,3
42,sparse,correct_conclusion_rate,1.0,1
42,sparse,false_conclusion_rate,0.0,1
42,sparse,abstention_rate,1.0,1
42,sparse,appropriate_abstention_rate,1.0,1
42,sparse,inappropriate_abstention_rate,0.0,1
42,sparse,premature_convergence_rate,0.0,1
42,sparse,single_iteration_conclusion_rate,0.0,1
42,sparse,mean_iterations_to_termination,3,1
42,unknown_attack,correct_conclusion_rate,0.0,1
42,unknown_attack,false_conclusion_rate,1.0,1
42,unknown_attack,abstention_rate,0.0,1
42,unknown_attack,appropriate_abstention_rate,0.0,1
42,unknown_attack,inappropriate_abstention_rate,0.0,1
42,unknown_attack,premature_convergence_rate,1.0,1
42,unknown_attack,single_iteration_conclusion_rate,0.0,1
42,unknown_attack,mean_iterations_to_termination,3,1
42,reference_reasoner,correct_conclusion_rate,1.0,7
42,reference_reasoner,false_conclusion_rate,0.0,7
42,reference_reasoner,abstention_rate,0.7143,7
42,reference_reasoner,appropriate_abstention_rate,1.0,7
42,reference_reasoner,inappropriate_abstention_rate,0.0,7
42,reference_reasoner,premature_convergence_rate,0.0,7
42,reference_reasoner,single_iteration_conclusion_rate,0.2857,7
42,reference_reasoner,mean_iterations_to_termination,1,7
42,baseline_always_abstain,correct_conclusion_rate,0.7143,7
42,baseline_always_abstain,false_conclusion_rate,0.0,7
42,baseline_always_abstain,abstention_rate,1.0,7
42,baseline_always_abstain,appropriate_abstention_rate,1.0,7
42,baseline_always_abstain,inappropriate_abstention_rate,1.0,7
42,baseline_always_abstain,premature_convergence_rate,0.0,7
42,baseline_always_abstain,single_iteration_conclusion_rate,0.0,7
42,baseline_always_abstain,mean_iterations_to_termination,1,7
42,baseline_always_conclude,correct_conclusion_rate,0.2857,7
42,baseline_always_conclude,false_conclusion_rate,0.7143,7
42,baseline_always_conclude,abstention_rate,0.0,7
42,baseline_always_conclude,appropriate_abstention_rate,0.0,7
42,baseline_always_conclude,inappropriate_abstention_rate,0.0,7
42,baseline_always_conclude,premature_convergence_rate,0.7143,7
42,baseline_always_conclude,single_iteration_conclusion_rate,1.0,7
42,baseline_always_conclude,mean_iterations_to_termination,1,7
