seed,threshold,decisions,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,argmax_precision,argmax_recall
42,0.15,300,15,202,1,82,0.0691,0.9375,0.1288,0.2245,0.6875
42,0.16,300,15,196,1,88,0.0711,0.9375,0.1322,0.2245,0.6875
42,0.17,300,15,185,1,99,0.075,0.9375,0.1389,0.2245,0.6875
42,0.18,300,15,171,1,113,0.0806,0.9375,0.1485,0.2245,0.6875
42,0.19,300,15,162,1,122,0.0847,0.9375,0.1554,0.2292,0.6875
42,0.2,300,15,154,1,130,0.0888,0.9375,0.1622,0.234,0.6875
42,0.21,300,15,141,1,143,0.0962,0.9375,0.1744,0.234,0.6875
42,0.22,300,14,134,2,150,0.0946,0.875,0.1707,0.2174,0.625
42,0.23,300,13,120,3,164,0.0977,0.8125,0.1745,0.2273,0.625
42,0.24,300,13,107,3,177,0.1083,0.8125,0.1912,0.2273,0.625
42,0.25,300,12,90,4,194,0.1176,0.75,0.2034,0.225,0.5625
42,0.26,300,12,81,4,203,0.129,0.75,0.2202,0.2308,0.5625
42,0.27,300,12,71,4,213,0.1446,0.75,0.2424,0.2368,0.5625
42,0.28,300,10,54,6,230,0.1562,0.625,0.25,0.2286,0.5
42,0.29,300,10,50,6,234,0.1667,0.625,0.2632,0.2353,0.5
42,0.3,300,9,43,7,241,0.1731,0.5625,0.2647,0.2258,0.4375
42,0.31,300,9,33,7,251,0.2143,0.5625,0.3103,0.2593,0.4375
42,0.32,300,9,28,7,256,0.2432,0.5625,0.3396,0.2917,0.4375
42,0.33,300,7,27,9,257,0.2059,0.4375,0.28,0.2609,0.375
42,0.34,300,7,23,9,261,0.2333,0.4375,0.3043,0.2727,0.375
42,0.35,300,7,20,9,264,0.2593,0.4375,0.3256,0.2857,0.375
42,0.36,300,7,17,9,267,0.2917,0.4375,0.35,0.2857,0.375
42,0.37,300,6,14,10,270,0.3,0.375,0.3333,0.2941,0.3125
42,0.38,300,5,9,11,275,0.3571,0.3125,0.3333,0.3846,0.3125
42,0.39,300,5,8,11,276,0.3846,0.3125,0.3448,0.4167,0.3125
42,0.4,300,4,8,12,276,0.3333,0.25,0.2857,0.3636,0.25
42,0.41,300,4,8,12,276,0.3333,0.25,0.2857,0.3636,0.25
42,0.42,300,3,7,13,277,0.3,0.1875,0.2308,0.3333,0.1875
42,0.43,300,3,6,13,278,0.3333,0.1875,0.24,0.375,0.1875
42,0.44,300,2,4,14,280,0.3333,0.125,0.1818,0.3333,0.125
42,0.45,300,2,4,14,280,0.3333,0.125,0.1818,0.3333,0.125
42,0.46,300,2,3,14,281,0.4,0.125,0.1905,0.4,0.125
42,0.47,300,2,3,14,281,0.4,0.125,0.1905,0.4,0.125
42,0.48,300,2,2,14,282,0.5,0.125,0.2,0.5,0.125
42,0.49,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.5,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.51,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.52,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.53,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.54,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.55,300,1,2,15,282,0.3333,0.0625,0.1053,0.3333,0.0625
42,0.56,300,1,1,15,283,0.5,0.0625,0.1111,0.5,0.0625
42,0.57,300,1,0,15,284,1.0,0.0625,0.1176,1.0,0.0625
42,0.58,300,1,0,15,284,1.0,0.0625,0.1176,1.0,0.0625
42,0.59,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.6,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.61,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.62,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.63,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.64,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.65,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.66,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.67,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.68,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.69,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.7,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.71,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.72,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.73,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.74,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.75,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.76,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.77,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.78,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.79,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
42,0.8,300,0,0,16,284,0.0,0.0,0.0,0.0,0.0
