config,seed,holdout_class,smote_strategy,distribution,accuracy,macro_f1,weighted_f1,false_positive_rate_normal_as_attack,mean_predicted_confidence,sample_count,selected_feature_count,epochs_run,train_rows,train_rows_after_smote
closedset,42,,minimal,validation,0.811743,0.519498,0.785223,0.109643,0.806355,35069,25,110,140272,141262
closedset,42,,minimal,natural,0.752004,0.446193,0.754918,0.279486,0.796228,82332,25,110,140272,141262
closedset,42,,minimal,balanced,0.538636,0.504069,0.504069,0.227273,0.642514,440,25,110,140272,141262
openset,42,Worms,minimal,validation,0.809035,0.538085,0.787365,0.101607,0.805875,35043,25,93,140168,140262
openset,42,Worms,minimal,natural,0.763501,0.447779,0.763811,0.25573,0.799203,82288,25,93,140168,140262
openset,42,Worms,minimal,balanced,0.495297,0.444956,0.444956,0.261905,0.638002,3402,25,93,140168,140262
closedset,123,,minimal,validation,0.810688,0.522476,0.78148,0.100982,0.80539,35069,25,117,140272,141262
closedset,123,,minimal,natural,0.757227,0.443187,0.760376,0.257919,0.797978,82332,25,117,140272,141262
closedset,123,,minimal,balanced,0.486364,0.456725,0.456725,0.25,0.632117,440,25,117,140272,141262
openset,123,Worms,minimal,validation,0.811203,0.537027,0.78447,0.120714,0.806788,35043,25,79,140168,140262
openset,123,Worms,minimal,natural,0.744483,0.440851,0.749189,0.294216,0.797748,82288,25,79,140168,140262
openset,123,Worms,minimal,balanced,0.493533,0.452803,0.452803,0.322751,0.641165,3402,25,79,140168,140262
closedset,456,,minimal,validation,0.806382,0.512405,0.783358,0.104286,0.79846,35069,25,50,140272,141262
closedset,456,,minimal,natural,0.753,0.433754,0.760422,0.266243,0.794877,82332,25,50,140272,141262
closedset,456,,minimal,balanced,0.484091,0.450582,0.450582,0.227273,0.624753,440,25,50,140272,141262
openset,456,Worms,minimal,validation,0.807294,0.524941,0.778251,0.106786,0.803038,35043,25,70,140168,140262
openset,456,Worms,minimal,natural,0.758106,0.44368,0.759483,0.264297,0.79554,82288,25,70,140168,140262
openset,456,Worms,minimal,balanced,0.493239,0.443099,0.443099,0.291005,0.626102,3402,25,70,140168,140262
closedset,789,,minimal,validation,0.811971,0.528686,0.783555,0.103839,0.809099,35069,25,132,140272,141262
closedset,789,,minimal,natural,0.754773,0.447823,0.75626,0.261946,0.799732,82332,25,132,140272,141262
closedset,789,,minimal,balanced,0.527273,0.48965,0.48965,0.25,0.651607,440,25,132,140272,141262
openset,789,Worms,minimal,validation,0.812145,0.532154,0.783462,0.112321,0.8073,35043,25,100,140168,140262
openset,789,Worms,minimal,natural,0.749149,0.447279,0.752419,0.278081,0.79854,82288,25,100,140168,140262
openset,789,Worms,minimal,balanced,0.492063,0.452541,0.452541,0.280423,0.630326,3402,25,100,140168,140262
closedset,1024,,minimal,validation,0.811857,0.526719,0.784947,0.115268,0.810384,35069,25,93,140272,141262
closedset,1024,,minimal,natural,0.741352,0.43554,0.746873,0.297649,0.80005,82332,25,93,140272,141262
closedset,1024,,minimal,balanced,0.511364,0.468057,0.468057,0.272727,0.646613,440,25,93,140272,141262
openset,1024,Worms,minimal,validation,0.812887,0.539217,0.783475,0.097411,0.806702,35043,25,97,140168,140262
openset,1024,Worms,minimal,natural,0.754156,0.434203,0.756269,0.257892,0.795931,82288,25,97,140168,140262
openset,1024,Worms,minimal,balanced,0.49177,0.440802,0.440802,0.259259,0.637003,3402,25,97,140168,140262
