seed,sensor_reject,epistemic_control,cell,situations_overall,situations_regime,overall_abstention_rate,unknown_attack_abstention_rate,overall_appropriate_abstention_rate,unknown_attack_appropriate_abstention_rate,overall_inappropriate_abstention_rate,unknown_attack_inappropriate_abstention_rate,overall_premature_convergence_rate,unknown_attack_premature_convergence_rate,overall_correct_conclusion_rate,unknown_attack_correct_conclusion_rate,overall_false_conclusion_rate,unknown_attack_false_conclusion_rate
42,True,True,"sensor=on, epistemic=on",66,16,0.197,0.0,0.2826,0.0,0.0,0.0,0.5,1.0,0.2576,0.0,0.7424,1.0
123,True,True,"sensor=on, epistemic=on",66,16,0.1515,0.0,0.2174,0.0,0.0,0.0,0.5455,1.0,0.1818,0.0,0.8182,1.0
456,True,True,"sensor=on, epistemic=on",66,16,0.1667,0.0,0.2391,0.0,0.0,0.0,0.5303,1.0,0.197,0.0,0.803,1.0
789,True,True,"sensor=on, epistemic=on",66,16,0.197,0.0,0.2609,0.0,0.05,0.0,0.5152,1.0,0.2273,0.0,0.7576,1.0
1024,True,True,"sensor=on, epistemic=on",66,16,0.197,0.0625,0.2826,0.0625,0.0,0.0,0.5,0.9375,0.2273,0.0625,0.7727,0.9375
42,True,False,"sensor=on, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
123,True,False,"sensor=on, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
456,True,False,"sensor=on, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
789,True,False,"sensor=on, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0606,0.0,0.9394,1.0
1024,True,False,"sensor=on, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0606,0.0,0.9394,1.0
42,False,True,"sensor=off, epistemic=on",66,16,0.197,0.0,0.2826,0.0,0.0,0.0,0.5,1.0,0.2576,0.0,0.7424,1.0
123,False,True,"sensor=off, epistemic=on",66,16,0.1515,0.0,0.2174,0.0,0.0,0.0,0.5455,1.0,0.1818,0.0,0.8182,1.0
456,False,True,"sensor=off, epistemic=on",66,16,0.1667,0.0,0.2391,0.0,0.0,0.0,0.5303,1.0,0.197,0.0,0.803,1.0
789,False,True,"sensor=off, epistemic=on",66,16,0.197,0.0,0.2609,0.0,0.05,0.0,0.5152,1.0,0.2273,0.0,0.7576,1.0
1024,False,True,"sensor=off, epistemic=on",66,16,0.197,0.0625,0.2826,0.0625,0.0,0.0,0.5,0.9375,0.2273,0.0625,0.7727,0.9375
42,False,False,"sensor=off, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
123,False,False,"sensor=off, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
456,False,False,"sensor=off, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0455,0.0,0.9545,1.0
789,False,False,"sensor=off, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0606,0.0,0.9394,1.0
1024,False,False,"sensor=off, epistemic=off",66,16,0.0,0.0,0.0,0.0,0.0,0.0,0.697,1.0,0.0606,0.0,0.9394,1.0
